conference	paper_title	doi	author	author_url	author_position
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Exploring Cognitive Playfulness Through Zero Interactions	10.1145/3197391.3205413	Ji Eun Kim	https://dl.acm.org/author_page.cfm?id=99659279453	3
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Exploring the Knowledge Creation Practices of UX Designers on Stack Exchange	10.1145/3197391.3205414	Yubo Kou	https://dl.acm.org/author_page.cfm?id=99659020443	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Exploring the Knowledge Creation Practices of UX Designers on Stack Exchange	10.1145/3197391.3205414	Colin M. Gray	https://dl.acm.org/author_page.cfm?id=87959081657	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	We Are Not All Makers: The Paradox of Plurality In The Maker Movement	10.1145/3197391.3205415	Tara Whelan	https://dl.acm.org/author_page.cfm?id=99659277266	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	An Artistic Provocation to Explore Effects and Opportunities of Virtual Surreal Spaces	10.1145/3197391.3205416	Hyelip Lee	https://dl.acm.org/author_page.cfm?id=81553980356	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	An Artistic Provocation to Explore Effects and Opportunities of Virtual Surreal Spaces	10.1145/3197391.3205416	Myung Jin Kim	https://dl.acm.org/author_page.cfm?id=99659276852	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	An Artistic Provocation to Explore Effects and Opportunities of Virtual Surreal Spaces	10.1145/3197391.3205416	Byungjoo Lee	https://dl.acm.org/author_page.cfm?id=99659276502	3
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	An Artistic Provocation to Explore Effects and Opportunities of Virtual Surreal Spaces	10.1145/3197391.3205416	Andrea Bianchi	https://dl.acm.org/author_page.cfm?id=81460654085	4
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Dark Intentions or Persuasion?: UX Designers' Activation of Stakeholder and User Values	10.1145/3197391.3205417	Shruthi Sai Chivukula	https://dl.acm.org/author_page.cfm?id=99659197076	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Dark Intentions or Persuasion?: UX Designers' Activation of Stakeholder and User Values	10.1145/3197391.3205417	Jason Brier	https://dl.acm.org/author_page.cfm?id=99659319644	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Dark Intentions or Persuasion?: UX Designers' Activation of Stakeholder and User Values	10.1145/3197391.3205417	Colin M. Gray	https://dl.acm.org/author_page.cfm?id=87959081657	3
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Designing Social Playware Mediated Communication with Contingent Feedback Devices	10.1145/3197391.3205418	Joana Lobo	https://dl.acm.org/author_page.cfm?id=99659277648	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Designing Social Playware Mediated Communication with Contingent Feedback Devices	10.1145/3197391.3205418	Kenji Suzuki	https://dl.acm.org/author_page.cfm?id=81100184640	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Visualization Tool for Environmental Sensing and Public Health Data	10.1145/3197391.3205419	Yen-Chia Hsu	https://dl.acm.org/author_page.cfm?id=99659161729	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Visualization Tool for Environmental Sensing and Public Health Data	10.1145/3197391.3205419	Jennifer Cross	https://dl.acm.org/author_page.cfm?id=99658976462	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Visualization Tool for Environmental Sensing and Public Health Data	10.1145/3197391.3205419	Paul Dille	https://dl.acm.org/author_page.cfm?id=99659159960	3
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Visualization Tool for Environmental Sensing and Public Health Data	10.1145/3197391.3205419	Illah Nourbakhsh	https://dl.acm.org/author_page.cfm?id=81100538966	4
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Visualization Tool for Environmental Sensing and Public Health Data	10.1145/3197391.3205419	Leann Leiter	https://dl.acm.org/author_page.cfm?id=99659276434	5
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Visualization Tool for Environmental Sensing and Public Health Data	10.1145/3197391.3205419	Ryan Grode	https://dl.acm.org/author_page.cfm?id=99659277314	6
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	IdleBot: Exploring the Design of Serendipitous Artifacts	10.1145/3197391.3205420	Caroline Overgoor	https://dl.acm.org/author_page.cfm?id=99659261938	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	IdleBot: Exploring the Design of Serendipitous Artifacts	10.1145/3197391.3205420	Mathias Funk	https://dl.acm.org/author_page.cfm?id=81343492899	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Hacking Occupational Therapy Tools for Center-based Care	10.1145/3197391.3205421	Thi Ngoc Tram Nguyen	https://dl.acm.org/author_page.cfm?id=99659183656	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Hacking Occupational Therapy Tools for Center-based Care	10.1145/3197391.3205421	Shienny Karwita	https://dl.acm.org/author_page.cfm?id=99659080734	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Hacking Occupational Therapy Tools for Center-based Care	10.1145/3197391.3205421	Yan Liangkun	https://dl.acm.org/author_page.cfm?id=99659185313	3
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Hacking Occupational Therapy Tools for Center-based Care	10.1145/3197391.3205421	Sim Yongjie	https://dl.acm.org/author_page.cfm?id=99659276677	4
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Ring x2: Designing Gestures for Smart Rings using Temporal Calculus	10.1145/3197391.3205422	Bogdan-Florin Gheran	https://dl.acm.org/author_page.cfm?id=99659256105	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Ring x2: Designing Gestures for Smart Rings using Temporal Calculus	10.1145/3197391.3205422	Radu-Daniel Vatavu	https://dl.acm.org/author_page.cfm?id=81343507895	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Ring x2: Designing Gestures for Smart Rings using Temporal Calculus	10.1145/3197391.3205422	Jean Vanderdonckt	https://dl.acm.org/author_page.cfm?id=81100053193	3
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	WiredRadio: A Study of Living with Radio Awareness	10.1145/3197391.3205423	Erik Grönvall	https://dl.acm.org/author_page.cfm?id=81100612707	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Designing for Co-located and Virtual Social Interactions in Residential Care	10.1145/3197391.3205424	Francisco Ibarra	https://dl.acm.org/author_page.cfm?id=99659181090	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Designing for Co-located and Virtual Social Interactions in Residential Care	10.1145/3197391.3205424	Marcos Baez	https://dl.acm.org/author_page.cfm?id=81435611706	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Designing for Co-located and Virtual Social Interactions in Residential Care	10.1145/3197391.3205424	Francesca Fiore	https://dl.acm.org/author_page.cfm?id=99659173157	3
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Designing for Co-located and Virtual Social Interactions in Residential Care	10.1145/3197391.3205424	Fabio Casati	https://dl.acm.org/author_page.cfm?id=81100601658	4
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Body Inspired Design for Knitted Body-Protection Wearables	10.1145/3197391.3205425	Martijn ten Bhömer	https://dl.acm.org/author_page.cfm?id=81472654870	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Body Inspired Design for Knitted Body-Protection Wearables	10.1145/3197391.3205425	Ruggero Canova	https://dl.acm.org/author_page.cfm?id=99659276586	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Body Inspired Design for Knitted Body-Protection Wearables	10.1145/3197391.3205425	Eva de Laat	https://dl.acm.org/author_page.cfm?id=99659277175	3
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Design Challenges for Reconnecting in Later Life: A Qualitative Study	10.1145/3197391.3205426	Francisco Ibarra	https://dl.acm.org/author_page.cfm?id=99659181090	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Design Challenges for Reconnecting in Later Life: A Qualitative Study	10.1145/3197391.3205426	Grzegorz Kowalik	https://dl.acm.org/author_page.cfm?id=99659276466	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Design Challenges for Reconnecting in Later Life: A Qualitative Study	10.1145/3197391.3205426	Marcos Baez	https://dl.acm.org/author_page.cfm?id=81435611706	3
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Design Challenges for Reconnecting in Later Life: A Qualitative Study	10.1145/3197391.3205426	Radoslaw Nielek	https://dl.acm.org/author_page.cfm?id=81384595288	4
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Design Challenges for Reconnecting in Later Life: A Qualitative Study	10.1145/3197391.3205426	Norma Lau	https://dl.acm.org/author_page.cfm?id=99659277418	5
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Design Challenges for Reconnecting in Later Life: A Qualitative Study	10.1145/3197391.3205426	Luca Cernuzzi	https://dl.acm.org/author_page.cfm?id=81100145084	6
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Design Challenges for Reconnecting in Later Life: A Qualitative Study	10.1145/3197391.3205426	Fabio Casati	https://dl.acm.org/author_page.cfm?id=81100601658	7
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Exploring Dynamic Expressions on Soft Wearables for Physical Exercises	10.1145/3197391.3205427	Ça_lar Genç	https://dl.acm.org/author_page.cfm?id=99659020680	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Exploring Dynamic Expressions on Soft Wearables for Physical Exercises	10.1145/3197391.3205427	Merve Erkaya	https://dl.acm.org/author_page.cfm?id=99659277431	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Exploring Dynamic Expressions on Soft Wearables for Physical Exercises	10.1145/3197391.3205427	Fuat Balcı	https://dl.acm.org/author_page.cfm?id=99659019996	3
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Exploring Dynamic Expressions on Soft Wearables for Physical Exercises	10.1145/3197391.3205427	O_uzhan Özcan	https://dl.acm.org/author_page.cfm?id=81365595424	4
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Text Visualisation Tool for Exploring Digitised Historical Documents	10.1145/3197391.3205428	Olivia Vane	https://dl.acm.org/author_page.cfm?id=99659075340	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Once Upon a Future: An Audio Drama Game for Episodic Imagination	10.1145/3197391.3205429	Yu-Ting Cheng	https://dl.acm.org/author_page.cfm?id=99659276837	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Once Upon a Future: An Audio Drama Game for Episodic Imagination	10.1145/3197391.3205429	Wenn-Chieh Tsai	https://dl.acm.org/author_page.cfm?id=81367594900	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Once Upon a Future: An Audio Drama Game for Episodic Imagination	10.1145/3197391.3205429	David Chung	https://dl.acm.org/author_page.cfm?id=99658760894	3
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Once Upon a Future: An Audio Drama Game for Episodic Imagination	10.1145/3197391.3205429	Rung-Huei Liang	https://dl.acm.org/author_page.cfm?id=99659277483	4
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	"Pick, Place, And Follow: A Ball Run for Visually Impaired Children"	10.1145/3197391.3205430	Peter Fikar	https://dl.acm.org/author_page.cfm?id=83058864757	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	"Pick, Place, And Follow: A Ball Run for Visually Impaired Children"	10.1145/3197391.3205430	Florian Güldenpfennig	https://dl.acm.org/author_page.cfm?id=81548038173	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	"Pick, Place, And Follow: A Ball Run for Visually Impaired Children"	10.1145/3197391.3205430	Roman Ganhör	https://dl.acm.org/author_page.cfm?id=81550918656	3
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Building a Community of Audio Game Designers - Towards an Online Audio Game Editor	10.1145/3197391.3205431	Michael Urbanek	https://dl.acm.org/author_page.cfm?id=99659026423	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Building a Community of Audio Game Designers - Towards an Online Audio Game Editor	10.1145/3197391.3205431	Florian Güldenpfennig	https://dl.acm.org/author_page.cfm?id=81548038173	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Building a Community of Audio Game Designers - Towards an Online Audio Game Editor	10.1145/3197391.3205431	Manuel T. Schrempf	https://dl.acm.org/author_page.cfm?id=99659277653	3
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Giving up Control - A Speculative Air Pollution Mask to Reflect on Autonomy and Technology Design	10.1145/3197391.3205432	Britta F. Schulte	https://dl.acm.org/author_page.cfm?id=99659071628	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Giving up Control - A Speculative Air Pollution Mask to Reflect on Autonomy and Technology Design	10.1145/3197391.3205432	Zuzanna Lechelt	https://dl.acm.org/author_page.cfm?id=99659019447	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Giving up Control - A Speculative Air Pollution Mask to Reflect on Autonomy and Technology Design	10.1145/3197391.3205432	Aneesha Singh	https://dl.acm.org/author_page.cfm?id=99659276654	3
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Human-Drone Interaction: Drone Delivery & Services for Social Events	10.1145/3197391.3205433	Haodan Tan	https://dl.acm.org/author_page.cfm?id=99659135763	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Human-Drone Interaction: Drone Delivery & Services for Social Events	10.1145/3197391.3205433	Jangwon Lee	https://dl.acm.org/author_page.cfm?id=99659248324	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Human-Drone Interaction: Drone Delivery & Services for Social Events	10.1145/3197391.3205433	Gege Gao	https://dl.acm.org/author_page.cfm?id=99659276479	3
