conference	paper_title	doi	author	author_url	author_position
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Dynamic Shard Cutoff Prediction for Selective Search	10.1145/3209978.3210005	J. Shane Culpepper	https://dl.acm.org/author_page.cfm?id=81436601816	4
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Modeling Long- and Short-Term Temporal Patterns with Deep Neural Networks	10.1145/3209978.3210006	Guokun Lai	https://dl.acm.org/author_page.cfm?id=99658617925	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Modeling Long- and Short-Term Temporal Patterns with Deep Neural Networks	10.1145/3209978.3210006	Wei-Cheng Chang	https://dl.acm.org/author_page.cfm?id=83058659857	2
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Modeling Long- and Short-Term Temporal Patterns with Deep Neural Networks	10.1145/3209978.3210006	Yiming Yang	https://dl.acm.org/author_page.cfm?id=99659125571	3
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Modeling Long- and Short-Term Temporal Patterns with Deep Neural Networks	10.1145/3209978.3210006	Hanxiao Liu	https://dl.acm.org/author_page.cfm?id=99659281513	4
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Neural Query Performance Prediction using Weak Supervision from Multiple Signals	10.1145/3209978.3210041	Hamed Zamani	https://dl.acm.org/author_page.cfm?id=99658654604	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Neural Query Performance Prediction using Weak Supervision from Multiple Signals	10.1145/3209978.3210041	W. Bruce Croft	https://dl.acm.org/author_page.cfm?id=81100652508	2
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Neural Query Performance Prediction using Weak Supervision from Multiple Signals	10.1145/3209978.3210041	J. Shane Culpepper	https://dl.acm.org/author_page.cfm?id=81436601816	3
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Combined Regression and Tripletwise Learning for Conversion Rate Prediction in Real-Time Bidding Advertising	10.1145/3209978.3210062	Lili Shan	https://dl.acm.org/author_page.cfm?id=81486644391	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Combined Regression and Tripletwise Learning for Conversion Rate Prediction in Real-Time Bidding Advertising	10.1145/3209978.3210062	Lei Lin	https://dl.acm.org/author_page.cfm?id=81453628522	2
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Combined Regression and Tripletwise Learning for Conversion Rate Prediction in Real-Time Bidding Advertising	10.1145/3209978.3210062	Chengjie Sun	https://dl.acm.org/author_page.cfm?id=82259386157	3
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Session details: Session 1D: Learning to Rank I	10.1145/3258671	Hang Li	https://dl.acm.org/author_page.cfm?id=99659281896	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	From Greedy Selection to Exploratory Decision-Making: Diverse Ranking with Policy-Value Networks	10.1145/3209978.3209979	Yue Feng	https://dl.acm.org/author_page.cfm?id=99659280506	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	From Greedy Selection to Exploratory Decision-Making: Diverse Ranking with Policy-Value Networks	10.1145/3209978.3209979	Jun Xu	https://dl.acm.org/author_page.cfm?id=81423592460	2
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	From Greedy Selection to Exploratory Decision-Making: Diverse Ranking with Policy-Value Networks	10.1145/3209978.3209979	Yanyan Lan	https://dl.acm.org/author_page.cfm?id=81435599880	3
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	From Greedy Selection to Exploratory Decision-Making: Diverse Ranking with Policy-Value Networks	10.1145/3209978.3209979	Jiafeng Guo	https://dl.acm.org/author_page.cfm?id=81363593975	4
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	From Greedy Selection to Exploratory Decision-Making: Diverse Ranking with Policy-Value Networks	10.1145/3209978.3209979	Wei Zeng	https://dl.acm.org/author_page.cfm?id=99659190501	5
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	From Greedy Selection to Exploratory Decision-Making: Diverse Ranking with Policy-Value Networks	10.1145/3209978.3209979	Xueqi Cheng	https://dl.acm.org/author_page.cfm?id=81350598297	6
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Learning a Deep Listwise Context Model for Ranking Refinement	10.1145/3209978.3209985	Qingyao Ai	https://dl.acm.org/author_page.cfm?id=99658751310	1
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Learning a Deep Listwise Context Model for Ranking Refinement	10.1145/3209978.3209985	Keping Bi	https://dl.acm.org/author_page.cfm?id=81496668691	2
SIGIR '18:The 41st International ACM SIGIR Conference on Research & Development in Information Retrieval	Learning a Deep Listwise Context Model for Ranking Refinement	10.1145/3209978.3209985	Jiafeng Guo	https://dl.acm.org/author_page.cfm?id=81363593975	3
